office_name,website,root_domain,gemeente,plaats,provincie,aanbod_url,aanbod_url_quality,confidence,needs_review,source_adapter,score,status,review_reason,evidence
HRS Wonen,https://www.hrs.nl,hrs.nl,'s-Hertogenbosch,S Hertogenbosch,Noord-Brabant,https://hrs.nl/wonen/binnenkort-in-de-verkoop,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=wonen,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Kievit Makelaardij,http://www.kievitmakelaardij.com,kievitmakelaardij.com,'s-Hertogenbosch,S Hertogenbosch,Noord-Brabant,https://www.kievitmakelaardij.com/stille-verkoop,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
NEXT Nieuwbouwmakelaars,https://www.nextnieuwbouwmakelaars.nl,nextnieuwbouwmakelaars.nl,'s-Hertogenbosch,S Hertogenbosch,Noord-Brabant,,missing,0.65,true,seed,40,suspect,missing koopaanbod_url; missing aanbod_url,"website_exists=true | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=https://www.nextnieuwbouwmakelaars.nl/aanbod,https://www.nextnieuwbouwmakelaars.nl/woningaanbod,https://www.nextnieuwbouwmakelaars.nl/koopwoningen"
Otter Taxaties & Advies,https://www.ottertaxaties.nl,ottertaxaties.nl,'s-Hertogenbosch,S Hertogenbosch,Noord-Brabant,,missing,0.65,true,seed,0,missing,missing koopaanbod_url; missing aanbod_url,"website_exists=true | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=https://www.ottertaxaties.nl/aanbod,https://www.ottertaxaties.nl/woningaanbod,https://www.ottertaxaties.nl/koopwoningen"
Overweel Makelaardij o.z.,http://www.overweelmakelaardij.nl,overweelmakelaardij.nl,'s-Hertogenbosch,S Hertogenbosch,Noord-Brabant,http://www.overweelmakelaardij.nl/aanbod/woningaanbod/den-dungen/koop/huis-10229750-Poeldonk-32A,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
RSP Taxaties & Vastgoedadvies B.V.,http://www.rsptaxaties.nl,rsptaxaties.nl,'s-Hertogenbosch,S Hertogenbosch,Noord-Brabant,,missing,0.65,true,seed,0,missing,missing koopaanbod_url; missing aanbod_url,"website_exists=true | makelaar_signals=vastgoed | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=http://www.rsptaxaties.nl/aanbod,http://www.rsptaxaties.nl/woningaanbod,http://www.rsptaxaties.nl/koopwoningen"
Staete Makelaars 's-Hertogenbosch,http://www.staete.nl,staete.nl,'s-Hertogenbosch,S Hertogenbosch,Noord-Brabant,https://www.staete.nl/aanbod/wonen/tOZUao2/laan-ten-habraken-2-5291-aj,valid,0.85,false,seed,100,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,wonen,aanbod | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Stoffels Makelaardij B.V.,http://www.stoffelsmakelaardij.nl,stoffelsmakelaardij.nl,'s-Hertogenbosch,S Hertogenbosch,Noord-Brabant,http://www.stoffelsmakelaardij.nl/aanbod/woningaanbod/velddriel/koop/huis-10265314-Sint-Antoniusstraat-19a,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Stoof Taxaties,http://www.stoof.biz,stoof.biz,'s-Hertogenbosch,S Hertogenbosch,Noord-Brabant,http://www.stoof.biz/aankoop_verwerving,valid,0.85,false,seed,40,suspect,contains listing signal,website_exists=true | makelaar_signals=koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal
vb&t Makelaars Den Bosch,https://www.vbtmakelaars.nl,vbtmakelaars.nl,'s-Hertogenbosch,S Hertogenbosch,Noord-Brabant,https://www.vbtmakelaars.nl/aanbod-nieuwbouw-koopwoningen,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,woningen,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Makelaars- en Adviesburo Broeders,http://www.broedersmakelaardij.nl,broedersmakelaardij.nl,Alphen-Chaam,Alphen Chaam,Noord-Brabant,http://www.broedersmakelaardij.nl/aanbod/woningaanbod/gilze/koop/huis-10225430-Nerhovensestraat-17,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Van Hoven & Oomen,https://www.vhno.nl,vhno.nl,Alphen-Chaam,Alphen Chaam,Noord-Brabant,,missing,0.65,true,seed,20,missing,missing koopaanbod_url; missing aanbod_url,"website_exists=true | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=https://www.vhno.nl/aanbod,https://www.vhno.nl/woningaanbod,https://www.vhno.nl/koopwoningen"
Baas Makelaardij B.V.,http://www.baasmakelaardij.nl,baasmakelaardij.nl,Altena,Altena,Noord-Brabant,http://www.baasmakelaardij.nl/aanbod/woningaanbod/dordrecht/koop/huis-10137064-Dubbeldamseweg-Noord-17,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Hofstede Bedrijfshuisvesting B.V.,https://www.hofstedebedrijfshuisvesting.nl,hofstedebedrijfshuisvesting.nl,Altena,Altena,Noord-Brabant,,missing,0.65,true,seed,0,missing,missing koopaanbod_url; missing aanbod_url,"website_exists=true | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=https://www.hofstedebedrijfshuisvesting.nl/aanbod,https://www.hofstedebedrijfshuisvesting.nl/woningaanbod,https://www.hofstedebedrijfshuisvesting.nl/koopwoningen"
Hofstede Land van Heusden,https://www.hofstedelandvanheusden.nl,hofstedelandvanheusden.nl,Altena,Altena,Noord-Brabant,,missing,0.65,true,seed,20,missing,missing koopaanbod_url; missing aanbod_url,"website_exists=true | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=https://www.hofstedelandvanheusden.nl/aanbod,https://www.hofstedelandvanheusden.nl/woningaanbod,https://www.hofstedelandvanheusden.nl/koopwoningen"
Hofstede Makelaardij Werkendam,http://www.hofstedemakelaardij.nl,hofstedemakelaardij.nl,Altena,Altena,Noord-Brabant,,missing,0.65,true,seed,40,suspect,missing koopaanbod_url; missing aanbod_url,"website_exists=true | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=http://www.hofstedemakelaardij.nl/aanbod,http://www.hofstedemakelaardij.nl/woningaanbod,http://www.hofstedemakelaardij.nl/koopwoningen"
Hoogveste B.V.,http://www.hoogveste.nl,hoogveste.nl,Altena,Altena,Noord-Brabant,http://www.hoogveste.nl/aanbod/woningaanbod/nieuwe-niedorp/koop/huis-10300026-Vijverweg-1673,valid,0.85,false,seed,70,valid,contains listing signal,"website_exists=true | makelaar_signals=aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Kolpa OZP makelaars,http://www.kolpa-ozp.nl,kolpa-ozp.nl,Altena,Altena,Noord-Brabant,,missing,0.65,true,seed,40,suspect,missing koopaanbod_url; missing aanbod_url,"website_exists=true | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=http://www.kolpa-ozp.nl/aanbod,http://www.kolpa-ozp.nl/woningaanbod,http://www.kolpa-ozp.nl/koopwoningen"
Lamper & van Vliet Woningmakelaars,http://www.lvmakelaars.nl,lvmakelaars.nl,Altena,Altena,Noord-Brabant,https://www.lvmakelaars.nl/wonen,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,wonen | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Merwelanden Vastgoed Associatie BV,http://www.merwelanden-makelaardij.nl,merwelanden-makelaardij.nl,Altena,Altena,Noord-Brabant,,missing,0.65,true,seed,40,suspect,missing koopaanbod_url; missing aanbod_url,"website_exists=true | makelaar_signals=makelaar,makelaardij,vastgoed | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=http://www.merwelanden-makelaardij.nl/aanbod,http://www.merwelanden-makelaardij.nl/woningaanbod,http://www.merwelanden-makelaardij.nl/koopwoningen"
Mol & Roubos Makelaardij,http://www.molroubosmakelaardij.nl,molroubosmakelaardij.nl,Altena,Altena,Noord-Brabant,https://molroubosmakelaardij.nl/aanbod,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Zoomer Nijp Taxatieburo B.V.,http://www.nijpmakelaars.nl,nijpmakelaars.nl,Altena,Altena,Noord-Brabant,,missing,0.65,true,seed,10,missing,missing koopaanbod_url; missing aanbod_url,"website_exists=true | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=http://www.nijpmakelaars.nl/aanbod,http://www.nijpmakelaars.nl/woningaanbod,http://www.nijpmakelaars.nl/koopwoningen"
Nouwen Makelaardij o.g. b.v.,http://www.nouwen.nl,nouwen.nl,Altena,Altena,Noord-Brabant,https://nouwen.nl/gratis-verkoopadvies,suspect,0.65,true,seed,20,missing,suspect koopaanbod_url: contains excluded token 'gratis-verkoopadvies'; contains excluded token 'verkoopadvies',"website_exists=true | makelaar_signals=makelaar,makelaardij,koop | aanbod_url_status=suspect | aanbod_url_reason=contains excluded token 'verkoopadvies'"
Oomen Makelaardij & Taxaties,http://www.oomenmakelaardij.nl,oomenmakelaardij.nl,Altena,Altena,Noord-Brabant,https://www.oomenmakelaardij.nl/wonen,valid,0.85,false,seed,60,suspect,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,wonen | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Paans Makelaars in onroerende goederen,http://www.paansmakelaars.nl,paansmakelaars.nl,Altena,Altena,Noord-Brabant,https://www.paansmakelaars.nl/aanbod/koopwoningen,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,woningen,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Taxanja Taxaties,https://www.taxanja.nl,taxanja.nl,Altena,Altena,Noord-Brabant,,missing,0.65,true,seed,0,missing,missing koopaanbod_url; missing aanbod_url,"website_exists=true | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=https://www.taxanja.nl/aanbod,https://www.taxanja.nl/woningaanbod,https://www.taxanja.nl/koopwoningen"
Van Geffen Makelaardij,http://www.vangeffen.nl,vangeffen.nl,Altena,Altena,Noord-Brabant,https://www.vangeffen.nl/aanbod/koopwoningen,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,woningen,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
ViaJoop Makelaardij,http://www.viajoop.nl,viajoop.nl,Altena,Altena,Noord-Brabant,http://www.viajoop.nl/woningen?type=koop,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,woningen,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Vos Woningmakelaardij,https://www.voswoningmakelaardij.nl,voswoningmakelaardij.nl,Altena,Altena,Noord-Brabant,https://www.voswoningmakelaardij.nl/aanbod,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Waltmann & Co. Papendrecht b.v.,http://www.waltmann.com,waltmann.com,Altena,Altena,Noord-Brabant,https://www.waltmann.com/aanbod/koopwoningen,valid,0.85,false,seed,70,valid,contains listing signal,"website_exists=true | makelaar_signals=woningen,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Zoomer Makelaardij B.V.,http://www.zoomermakelaardij.nl,zoomermakelaardij.nl,Altena,Altena,Noord-Brabant,https://www.zoomermakelaardij.nl/aanbod/koopwoningen,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,woningen,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Berkers Taxaties,https://www.berkerstaxaties.nl,berkerstaxaties.nl,Asten,Asten,Noord-Brabant,,missing,0.65,true,seed,0,missing,missing koopaanbod_url; missing aanbod_url,"website_exists=true | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=https://www.berkerstaxaties.nl/aanbod,https://www.berkerstaxaties.nl/woningaanbod,https://www.berkerstaxaties.nl/koopwoningen"
Beter Wonen makelaardij Helma de Corte,http://www.beterwonenmakelaardij.nl,beterwonenmakelaardij.nl,Asten,Asten,Noord-Brabant,http://www.beterwonenmakelaardij.nl/aanbod/woningaanbod/asten/koop/huis-10304094-Peelkesakker-38,valid,0.85,false,seed,100,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,wonen,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Tulkens Makelaardij,http://www.tulkensmakelaardij.nl,tulkensmakelaardij.nl,Asten,Asten,Noord-Brabant,http://www.tulkensmakelaardij.nl/aanbod/woningaanbod/koop,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Van Houts Makelaardij,http://www.vanhoutsmakelaardij.nl,vanhoutsmakelaardij.nl,Asten,Asten,Noord-Brabant,http://www.vanhoutsmakelaardij.nl/aanbod/woningaanbod/asten/koop/huis-10288622-Berkelaar-23,valid,0.85,false,seed,100,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Makelaars- en Adviesburo Broeders,http://www.broedersmakelaardij.nl,broedersmakelaardij.nl,Baarle-Nassau,Baarle Nassau,Noord-Brabant,http://www.broedersmakelaardij.nl/aanbod/woningaanbod/gilze/koop/huis-10225430-Nerhovensestraat-17,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Peter van den Oetelaar Lommers Makelaars,http://www.lommersmakelaars.nl,lommersmakelaars.nl,Bergeijk,Bergeijk,Noord-Brabant,,missing,0.65,true,seed,40,suspect,missing koopaanbod_url; missing aanbod_url,"website_exists=true | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=http://www.lommersmakelaars.nl/aanbod,http://www.lommersmakelaars.nl/woningaanbod,http://www.lommersmakelaars.nl/koopwoningen"
Met Ons Makelaars,https://www.metonsmakelaars.nl,metonsmakelaars.nl,Bergeijk,Bergeijk,Noord-Brabant,https://www.metonsmakelaars.nl/aanbod,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,aanbod | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Wijman & Jansen ERA makelaars,https://www.wijmanjansen.nl,wijmanjansen.nl,Bergeijk,Bergeijk,Noord-Brabant,,missing,0.65,true,seed,40,suspect,missing koopaanbod_url; missing aanbod_url,"website_exists=true | makelaar_signals=makelaar,era | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=https://www.wijmanjansen.nl/aanbod,https://www.wijmanjansen.nl/woningaanbod,https://www.wijmanjansen.nl/koopwoningen"
Baas Makelaars,http://www.baasmakelaars.nl,baasmakelaars.nl,Bergen op Zoom,Bergen Op Zoom,Noord-Brabant,https://baasmakelaars.nl/wonen/nieuwbouw,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,wonen | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Brabant Makelaardij,http://www.brabantmakelaardij.nl,brabantmakelaardij.nl,Bergen op Zoom,Bergen Op Zoom,Noord-Brabant,https://www.brabantmakelaardij.nl/huis-verkopen-bergen-op-zoom,suspect,0.65,true,seed,40,suspect,suspect koopaanbod_url: missing listing signal; missing listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij | aanbod_url_status=suspect | aanbod_url_reason=missing listing signal"
DE VIERWINDEN MAKELAARDIJ B.V.,http://www.devierwindenmakelaardij.nl,devierwindenmakelaardij.nl,Bergen op Zoom,Bergen Op Zoom,Noord-Brabant,https://www.devierwindenmakelaardij.nl/property/holleweg-187-bergen-op-zoom-612,suspect,0.65,true,seed,40,suspect,suspect koopaanbod_url: missing listing signal; missing listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij | aanbod_url_status=suspect | aanbod_url_reason=missing listing signal"
Maes Makelaars,http://www.maesgroep.nl,maesgroep.nl,Bergen op Zoom,Bergen Op Zoom,Noord-Brabant,https://www.maesmakelaars.nl/woningen/te-koop,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,woningen,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Viaons Makelaardij B.V.,http://www.viaons.nl,viaons.nl,Bergen op Zoom,Bergen Op Zoom,Noord-Brabant,http://www.viaons.nl/aanbod/woningaanbod,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Vink Makelaardij,http://www.vinkmakelaardij.com,vinkmakelaardij.com,Bergen op Zoom,Bergen Op Zoom,Noord-Brabant,http://www.vinkmakelaardij.com/woningen/beschikbaar,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,woningen | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Den Otter Van Vliet,https://www.denottervanvliet.nl,denottervanvliet.nl,Bernheze,Bernheze,Noord-Brabant,https://denottervanvliet.nl/aan-en-verkoop,valid,0.85,false,seed,70,valid,contains listing signal,website_exists=true | makelaar_signals=koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal
Jansen & Van Tuijl Makelaars o.g.,http://www.jansen-vantuijl.nl,jansen-vantuijl.nl,Bernheze,Bernheze,Noord-Brabant,http://www.jansen-vantuijl.nl/aanbod/woningaanbod/oss/koop/huis-8457399-Bernhardlaan-43,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Ketelaars Van Zutphen Makelaardij,http://www.ketelaarsvanzutphen.nl,ketelaarsvanzutphen.nl,Bernheze,Bernheze,Noord-Brabant,http://www.ketelaarsvanzutphen.nl/aanbod/woningaanbod/koop,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
KOMwonen,https://www.kom-wonen.nl,kom-wonen.nl,Bernheze,Bernheze,Noord-Brabant,https://www.kom-wonen.nl/aanbod/woningaanbod/koop,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=wonen,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Van den Berk & Kerkhof Makelaars en Taxateurs,http://www.berkkerkhof.nl,berkkerkhof.nl,Best,Best,Noord-Brabant,https://www.berkkerkhof.nl/actueel/ontdek-het-nieuwbouwproject,suspect,0.65,true,seed,40,suspect,suspect koopaanbod_url: missing listing signal; missing listing signal,website_exists=true | makelaar_signals=makelaar | aanbod_url_status=suspect | aanbod_url_reason=missing listing signal
Ed Willems Makelaardij,http://www.edwillems.nl,edwillems.nl,Best,Best,Noord-Brabant,https://edwillems.nl/woningen,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,woningen | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
M.G.M. Makelaardij B.V.,http://www.mgmmakelaardij.nl,mgmmakelaardij.nl,Best,Best,Noord-Brabant,https://www.mgmmakelaardij.nl/aanbod/koop,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Box Makelaardij,http://www.boxmakelaardij.nl,boxmakelaardij.nl,Bladel,Bladel,Noord-Brabant,https://www.boxmakelaardij.nl/aanbod/tussenwoning-vezelstraat-15-reusel,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Roijmans Makelaardij,http://www.roijmans.nl,roijmans.nl,Bladel,Bladel,Noord-Brabant,http://www.roijmans.nl/bedrijfsmatig-aanbod/koop/bladel/hallenstraat/5-h0,valid,0.85,false,seed,100,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Jonkers Makelaardij,https://www.jonkers-makelaardij.nl,jonkers-makelaardij.nl,Boekel,Boekel,Noord-Brabant,https://www.jonkers-makelaardij.nl/aanbod/woningaanbod/koop,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Nuyens Makelaars,http://www.nuyensmakelaars.nl,nuyensmakelaars.nl,Boxtel,Boxtel,Noord-Brabant,,missing,0.65,true,seed,40,suspect,missing koopaanbod_url; missing aanbod_url,"website_exists=true | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=http://www.nuyensmakelaars.nl/aanbod,http://www.nuyensmakelaars.nl/woningaanbod,http://www.nuyensmakelaars.nl/koopwoningen"
Staete Makelaars Boxtel,https://www.staete.nl,staete.nl,Boxtel,Boxtel,Noord-Brabant,https://www.staete.nl/aanbod/wonen/tOZUao2/laan-ten-habraken-2-5291-aj,valid,0.85,false,seed,100,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,wonen,aanbod | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Tijn Maas Makelaardij,https://www.tm-makelaardij.nl,tm-makelaardij.nl,Boxtel,Boxtel,Noord-Brabant,https://www.tm-makelaardij.nl/woningaanbod,valid,0.85,false,seed,90,valid,contains listing signal,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod | aanbod_url_status=valid | aanbod_url_reason=contains listing signal"
Bastiaansen van den Bemd Makelaars Taxateurs,https://www.b-vdb.nl,b-vdb.nl,Breda,Breda,Noord-Brabant,,missing,0.65,true,seed,40,suspect,missing koopaanbod_url; missing aanbod_url,"website_exists=true | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | suggested_aanbod_paths=https://www.b-vdb.nl/aanbod,https://www.b-vdb.nl/woningaanbod,https://www.b-vdb.nl/koopwoningen"
