office_name,website,domain,root_domain,koopaanbod_url,koopaanbod_url_quality,plaats,provincie,source_type,discovery_source,confidence,needs_review,review_reason,notes
Noud Kops Woning-en Bedrijfsmakelaardij en Verzekeringen,http://www.noudkopsmakelaardij.nl,noudkopsmakelaardij.nl,noudkopsmakelaardij.nl,http://www.noudkopsmakelaardij.nl/aanbod/woningaanbod/oosterhout/koop/huis-10166294-Leeuwenstraat-28,valid,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=4, koop=4, huur=0"
Trommelen Makelaars en Taxateurs,,,,,missing,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.40,true,missing website; missing koopaanbod_url; missing domain; missing root_domain,missing website; missing koopaanbod_url; missing domain; missing root_domain
Van der Plas & De Vegt Makelaardij B.V.,http://www.vdplas.nl,vdplas.nl,vdplas.nl,http://www.vdplas.nl/aanbod/woningaanbod/oosterhout/koop/huis-10223868-Zwanendonk-2,valid,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=8, koop=4, huur=0"
Verbrugge Makelaardij b.v.,http://www.verbrugge.com,verbrugge.com,verbrugge.com,http://www.verbrugge.com/huizen,valid,Drimmelen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=9, koop=1, huur=0"
Online Bedrijfsmakelaar,http://www.onlinebedrijfsmakelaar.nl,onlinebedrijfsmakelaar.nl,onlinebedrijfsmakelaar.nl,https://onlinebedrijfsmakelaar.nl/aanbod,valid,Eersel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=99, koop=2, huur=2"
Van Santvoort Makelaars b.v.,http://www.vansantvoort.nl,vansantvoort.nl,vansantvoort.nl,https://www.vansantvoort.nl/woningen-zoeken?type=koopwoningen,valid,Eersel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=240, sin senales huur"
W. Heeren Makelaardij B.V.,http://www.wheeren.nl,wheeren.nl,wheeren.nl,http://www.wheeren.nl/aanbod/woningaanbod/hapert/koop/huis-9284102-Beerzedal-21,valid,Eersel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=4, koop=4, huur=0"
Broekx Makelaardij & Hypotheken,http://www.broekx.nl,broekx.nl,broekx.nl,https://www.broekx.nl/woningaanbod/verkocht?_objecten_beschikbaarheid=verkocht,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=10, sin senales huur"
Cushman & Wakefield Eindhoven,https://www.cushmanwakefield.nl,cushmanwakefield.nl,cushmanwakefield.nl,,missing,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url
ERA Focus Makelaars Eindhoven B.V.,http://www.erafocus.nl,erafocus.nl,erafocus.nl,,missing,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url
Hendriks Makelaardij Eindhoven,http://www.hendriks.nl,hendriks.nl,hendriks.nl,https://hendriks.nl/woningaanbod/koop/rijsbergsebaan-13-4836-mc-breda,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=3.50)
Hendrix Huybregts Makelaars,http://www.hendrixhuybregts.nl,hendrixhuybregts.nl,hendrixhuybregts.nl,https://hendrixhuybregts.nl/woningen/koop,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=73, koop=2, huur=0"
Hoogveldt Makelaardij,https://hoogveldtmakelaardij.nl,hoogveldtmakelaardij.nl,hoogveldtmakelaardij.nl,,missing,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url
Investimuswoningmakelaars,http://www.investimuswoningmakelaars.nl,investimuswoningmakelaars.nl,investimuswoningmakelaars.nl,https://investimuswoningmakelaars.nl/dienstverlening-verkoop,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=1.58)
Janssen Steijlen,http://www.janssensteijlen.nl,janssensteijlen.nl,janssensteijlen.nl,http://www.janssensteijlen.nl/bedrijfsaanbod,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=8, koop=2, huur=2"
JLL Eindhoven,http://www.jll.nl,jll.nl,jll.nl,,missing,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url
Lemon Suites,http://www.lemonsuites.nl,lemonsuites.nl,lemonsuites.nl,https://www.lemonsuites.nl/woning-huren,suspect,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: missing listing signal,mejor candidato sin verificar (score=0.72); suspect koopaanbod_url: missing listing signal
Ligtvoet Makelaardij,https://www.ligtvoetmakelaardij.nl,ligtvoetmakelaardij.nl,ligtvoetmakelaardij.nl,,missing,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url
Makelaarskantoor Brabant B.V.,http://www.brabantbv.nl,brabantbv.nl,brabantbv.nl,http://www.brabantbv.nl/aanbod/woningaanbod/eindhoven/koop/huis-10044888-Aardbeistraat-9,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=8, koop=4, huur=0"
"Meneer de Makelaar, Huijbregts en Wassink",http://www.meneerdemakelaar.nl,meneerdemakelaar.nl,meneerdemakelaar.nl,http://www.meneerdemakelaar.nl/aanbod,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=7, koop=1, huur=0"
MVGM Vastgoedtaxaties,https://www.mvgmvastgoedtaxaties.nl,mvgmvastgoedtaxaties.nl,mvgmvastgoedtaxaties.nl,,missing,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url
PAR-3 Makelaars,http://www.par3makelaars.nl,par3makelaars.nl,par3makelaars.nl,https://par3makelaars.nl/aanbod,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=66, koop=2, huur=0"
Pradium Vastgoed,https://www.pradium.nl,pradium.nl,pradium.nl,,missing,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url
Van de Schans Makelaardij,http://www.vandeschans.nl,vandeschans.nl,vandeschans.nl,http://www.vandeschans.nl/aanbod/woningaanbod/koop,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=132, koop=4, huur=0"
vb&t Makelaars Eindhoven,https://www.vbtmakelaars.nl,vbtmakelaars.nl,vbtmakelaars.nl,https://www.vbtmakelaars.nl/aanbod-nieuwbouw-koopwoningen,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=14, koop=2, huur=1"
VMG Regio Eindhoven B.V.,http://www.vmg-makelaars.nl,vmg-makelaars.nl,vmg-makelaars.nl,http://www.vmg-makelaars.nl/aanbod,valid,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=28, sin senales huur"
Werner Sanders Makelaardij,http://www.wernersandersmakelaardij.nl,wernersandersmakelaardij.nl,wernersandersmakelaardij.nl,,missing,Eindhoven,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url
Agnes Tomesen Makelaardij,http://www.tomesenmakelaardij.nl,tomesenmakelaardij.nl,tomesenmakelaardij.nl,https://tomesenmakelaardij.nl/binnenkort-in-de-verkoop,valid,Etten Leur,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=2.30)
Heijblom Makelaardij,http://www.heijblommakelaardij.nl,heijblommakelaardij.nl,heijblommakelaardij.nl,http://www.heijblommakelaardij.nl/aanbod/woningaanbod/koop,valid,Etten Leur,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=208, koop=4, huur=1"
Makelaar Miranda,http://www.makelaarmiranda.nl,makelaarmiranda.nl,makelaarmiranda.nl,https://makelaarmiranda.nl/huizen,valid,Etten Leur,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=20, koop=1, huur=0"
Valoris Vastgoedtaxaties+ B.V.,https://www.valoris-taxaties.nl,valoris-taxaties.nl,valoris-taxaties.nl,,missing,Etten Leur,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url
Van de Kasteele Makelaardij,http://www.vandekasteele.com,vandekasteele.com,vandekasteele.com,https://www.vandekasteele.com/property-type/woningen,valid,Etten Leur,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=116, koop=1, huur=0"
Zegers Makelaardij o.g.,http://www.zegersmakelaardij.nl,zegersmakelaardij.nl,zegersmakelaardij.nl,http://www.zegersmakelaardij.nl/aanbod/woningaanbod,valid,Etten Leur,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=132, koop=4, huur=2"
Biemans B.V.,http://www.biemansmakelaardij.nl,biemansmakelaardij.nl,biemansmakelaardij.nl,,missing,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url
"Biemans Made, Makelaardij o.z. en Hypotheken",http://www.biemansmade.nl,biemansmade.nl,biemansmade.nl,http://www.biemansmade.nl/nl/diensten/verkoop,suspect,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: contains excluded token 'diensten',"prijzen=3, koop=1, huur=0; suspect koopaanbod_url: contains excluded token 'diensten'"
Bogaers Makelaardij,http://www.bogaersmakelaardij.nl,bogaersmakelaardij.nl,bogaersmakelaardij.nl,,missing,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url
ERA Makelaardij Amerstreek,http://www.eramakelaardijamerstreek.nl,eramakelaardijamerstreek.nl,eramakelaardijamerstreek.nl,http://www.eramakelaardijamerstreek.nl/raamsdonksveer/era-makelaardij-amerstreek/verkoopmakelaar-raamsdonksveer,suspect,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: contains excluded token 'verkoopmakelaar',"prijzen=6, koop=1, huur=0; suspect koopaanbod_url: contains excluded token 'verkoopmakelaar'"
ERA makelaars Oosterhout,http://www.eraoosterhout.nl,eraoosterhout.nl,eraoosterhout.nl,http://www.eraoosterhout.nl/makelaar/oosterhout-nb/ijsvogelvlinder/era-makelaars-oosterhout/huizenaanbod,valid,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=0.72)
Ideale Makelaar,https://www.idealemakelaar.nl,idealemakelaar.nl,idealemakelaar.nl,https://www.idealemakelaar.nl/aanbod/koopwoningen,valid,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=15, koop=2, huur=0"
Klijsen Makelaars & Adviseurs,http://www.klijsen.nl,klijsen.nl,klijsen.nl,https://www.klijsen.nl/agrarisch-grond-te-koop-grond-kopen-in-noord-brabant,valid,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=1.94)
Marjoleine Rinsma Makelaardij,http://www.mrmakelaardij.nl,mrmakelaardij.nl,mrmakelaardij.nl,http://www.mrmakelaardij.nl/aanbod/woningaanbod?inclkoop=true&inclhuur=false,valid,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=126, koop=4, huur=0"
Noud Kops Woning-en Bedrijfsmakelaardij en Verzekeringen,http://www.noudkopsmakelaardij.nl,noudkopsmakelaardij.nl,noudkopsmakelaardij.nl,http://www.noudkopsmakelaardij.nl/aanbod/woningaanbod/oosterhout/koop/huis-10166294-Leeuwenstraat-28,valid,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=4, koop=4, huur=0"
Trommelen Makelaars en Taxateurs,,,,,missing,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.40,true,missing website; missing koopaanbod_url; missing domain; missing root_domain,missing website; missing koopaanbod_url; missing domain; missing root_domain
Van der Plas & De Vegt Makelaardij B.V.,http://www.vdplas.nl,vdplas.nl,vdplas.nl,http://www.vdplas.nl/aanbod/woningaanbod/oosterhout/koop/huis-10223868-Zwanendonk-2,valid,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=8, koop=4, huur=0"
Verbrugge Makelaardij b.v.,http://www.verbrugge.com,verbrugge.com,verbrugge.com,http://www.verbrugge.com/huizen,valid,Geertruidenberg,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=9, koop=1, huur=0"
Frank Gruintjes Makelaars,http://www.frankgruintjes.nl,frankgruintjes.nl,frankgruintjes.nl,http://www.frankgruintjes.nl/aanbod/woningaanbod/mierlo/koop/huis-7946295-Vaanakker-61,valid,Geldrop Mierlo,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=5, koop=4, huur=0"
KIN Makelaars Regio Eindhoven B.V.,https://www.kinmakelaars.nl,kinmakelaars.nl,kinmakelaars.nl,http://www.kinmakelaars.nl/aanbod/wonen/te-koop,valid,Geldrop Mierlo,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=10, koop=4, huur=3"
Kranen Makelaardij,http://www.kranenmakelaardij.nl,kranenmakelaardij.nl,kranenmakelaardij.nl,http://www.kranenmakelaardij.nl/aanbod,valid,Geldrop Mierlo,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=60, koop=2, huur=0"
Woonadvies Makelaardij o.g.,https://www.woonadviesmakelaardij.nl,woonadviesmakelaardij.nl,woonadviesmakelaardij.nl,https://www.woonadviesmakelaardij.nl/aanbod/woningaanbod/mierlo/koop/huis-9229080-Patrijslaan-4H-47,valid,Geldrop Mierlo,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=12, koop=4, huur=0"
B & L Makelaarskantoor O.G. B.V.,http://www.vendomakelaars.nl,vendomakelaars.nl,vendomakelaars.nl,http://www.vendomakelaars.nl/voor-kopers/binnenkort-te-koop,valid,Gemert Bakel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=2.78)
Broeckx makelaars,http://www.woonplezier.nl,woonplezier.nl,woonplezier.nl,http://www.woonplezier.nl/aanbod/woningaanbod/koop,valid,Gemert Bakel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=208, koop=5, huur=1"
Van Helvoort Makelaardij o.z. B.V.,https://vanhelvoortmakelaardij.nl,vanhelvoortmakelaardij.nl,vanhelvoortmakelaardij.nl,,missing,Gemert Bakel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url
Van Nunen Makelaars,https://www.vannunenmakelaars.nl,vannunenmakelaars.nl,vannunenmakelaars.nl,https://www.vannunenmakelaars.nl/verkoop,valid,Gemert Bakel,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=1.58)
Appart Makelaars,,,,,missing,Gilze En Rijen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.40,true,missing website; missing koopaanbod_url; missing domain; missing root_domain,missing website; missing koopaanbod_url; missing domain; missing root_domain
Jouw Aankoopmakelaar & Taxateur,https://www.jouwamet.nl,jouwamet.nl,jouwamet.nl,,missing,Gilze En Rijen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url
Makelaar Sander,http://www.makelaarsander.nl,makelaarsander.nl,makelaarsander.nl,http://www.makelaarsander.nl/aanbod/woningaanbod,valid,Gilze En Rijen,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=208, koop=4, huur=2"
Appels Makelaardij B.V.,http://www.appels.nl,appels.nl,appels.nl,https://www.appels.nl/aanbod,valid,Goirle,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=0.72)
Clavem Makelaars,http://www.clavem.eu,clavem.eu,clavem.eu,http://www.clavem.eu/aanbod/woningaanbod/hilvarenbeek/koop/huis-9980160-Dr.-P.-C.-de-Brouwerlaan-20,valid,Goirle,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=4, koop=4, huur=0"
Rentmeester Makelaardij,http://www.rentmeestermakelaardij.nl,rentmeestermakelaardij.nl,rentmeestermakelaardij.nl,http://www.rentmeestermakelaardij.nl/aanbod/woningaanbod,valid,Goirle,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=132, koop=4, huur=2"
Heijblom Makelaardij b.v.,https://www.heijblommakelaardij.nl,heijblommakelaardij.nl,heijblommakelaardij.nl,http://www.heijblommakelaardij.nl/aanbod/woningaanbod/koop,valid,Halderberge,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=208, koop=4, huur=1"
Sweere Makelaardij B.V.,https://www.sweere.nl,sweere.nl,sweere.nl,https://www.sweere.nl/aanbod/nieuwbouwaanbod/oud-gastel/koop/project-66666--,valid,Halderberge,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=18, koop=2, huur=0"
Van de Kasteele Makelaardij,http://www.vandekasteele.com,vandekasteele.com,vandekasteele.com,https://www.vandekasteele.com/property-type/woningen,valid,Halderberge,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=116, koop=1, huur=0"
Van Meer Makelaars B.V.,http://www.vanmeermakelaars.nl,vanmeermakelaars.nl,vanmeermakelaars.nl,http://www.vanmeermakelaars.nl/aanbod/woningaanbod/oudenbosch/koop/huis-9883500-Nijverheidsweg-14,valid,Halderberge,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=4, koop=4, huur=0"
Wijk-Regio Makelaardij,http://www.wijk-regio.nl,wijk-regio.nl,wijk-regio.nl,http://www.wijk-regio.nl/aanbod/woningaanbod/oudenbosch/koop/huis-10339742-Jaagpad-1,valid,Halderberge,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=6, koop=5, huur=0"
KIN Makelaars Regio Eindhoven B.V.,https://www.kinmakelaars.nl,kinmakelaars.nl,kinmakelaars.nl,http://www.kinmakelaars.nl/aanbod/wonen/te-koop,valid,Heeze Leende,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=10, koop=4, huur=3"
Kranen Makelaardij,http://www.kranenmakelaardij.nl,kranenmakelaardij.nl,kranenmakelaardij.nl,http://www.kranenmakelaardij.nl/aanbod,valid,Heeze Leende,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=60, koop=2, huur=0"
Makelaardij OLAV Veldhuizen B.V.,http://www.makelaardijolav.nl,makelaardijolav.nl,makelaardijolav.nl,http://www.makelaardijolav.nl/zoek-in-ons-aanbod,valid,Heeze Leende,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=14, koop=1, huur=0"
Snijders & de Werdt Makelaars,http://www.swmakelaars.nl,swmakelaars.nl,swmakelaars.nl,,missing,Heeze Leende,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url
A3 Taxaties,https://www.a3taxaties.nl,a3taxaties.nl,a3taxaties.nl,,missing,Helmond,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url
Adriaan van den Heuvel makelaars en adviseurs,http://www.heuvel.nl,heuvel.nl,heuvel.nl,https://www.heuvel.nl/woningmakelaardij/aanbod?_facet_financial_type=koop,valid,Helmond,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=18, koop=1, huur=0"
B & L Makelaarskantoor O.G. B.V.,http://www.vendomakelaars.nl,vendomakelaars.nl,vendomakelaars.nl,http://www.vendomakelaars.nl/voor-kopers/binnenkort-te-koop,valid,Helmond,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=2.78)
Broeckx makelaars,http://www.woonplezier.nl,woonplezier.nl,woonplezier.nl,http://www.woonplezier.nl/aanbod/woningaanbod/koop,valid,Helmond,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=208, koop=5, huur=1"
ERA Focus Makelaars Helmond B.V.,http://www.erafocus.nl,erafocus.nl,erafocus.nl,,missing,Helmond,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url
Frank Gruintjes Makelaars,http://www.frankgruintjes.nl,frankgruintjes.nl,frankgruintjes.nl,http://www.frankgruintjes.nl/aanbod/woningaanbod/mierlo/koop/huis-7946295-Vaanakker-61,valid,Helmond,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=5, koop=4, huur=0"
Harry Moes Makelaardij o.z.,http://www.harrymoesmakelaardij.nl,harrymoesmakelaardij.nl,harrymoesmakelaardij.nl,http://www.harrymoesmakelaardij.nl/aanbod/woningaanbod/schijndel/koop/huis-10245112-Hyacinthof-28,valid,Helmond,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=192, koop=4, huur=1"
M.G.M. Makelaardij Helmond,https://www.mgmmakelaardij.nl,mgmmakelaardij.nl,mgmmakelaardij.nl,https://www.mgmmakelaardij.nl/aanbod/koop,valid,Helmond,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=46, koop=2, huur=0"
Makelaar de Vree,http://www.makelaardevree.nl,makelaardevree.nl,makelaardevree.nl,http://www.makelaardevree.nl/aanbod/woningaanbod/helmond/koop/huis-9713046-Suytboulevard-47,valid,Helmond,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=7, koop=5, huur=1"
Raaijmakers Makelaardij,http://www.raaijmakersmakelaardij.nl,raaijmakersmakelaardij.nl,raaijmakersmakelaardij.nl,https://www.raaijmakersmakelaardij.nl/woningen,valid,Helmond,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=59, koop=2, huur=0"
Theo Keijzers Makelaardij,http://www.theo-keijzers.nl,theo-keijzers.nl,theo-keijzers.nl,http://www.theo-keijzers.nl/aanbod/woningaanbod/helmond/koop/huis-9588260-Hunzestraat-55,valid,Helmond,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=4, koop=3, huur=0"
Van der Duim makelaardij,https://www.vanderduimmakelaardij.nl,vanderduimmakelaardij.nl,vanderduimmakelaardij.nl,https://www.vanderduimmakelaardij.nl/nl/woningaanbod,valid,Helmond,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=49, koop=1, huur=0"
Van Santvoort Makelaars b.v.,http://www.vansantvoort.nl,vansantvoort.nl,vansantvoort.nl,https://www.vansantvoort.nl/woningen-zoeken?type=koopwoningen,valid,Helmond,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=240, sin senales huur"
Van Tuijl makelaardij,https://www.vantuijl-makelaardij.nl,vantuijl-makelaardij.nl,vantuijl-makelaardij.nl,https://vantuijl-makelaardij.nl/woning-kopen,suspect,Helmond,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,suspect koopaanbod_url: missing listing signal,"prijzen=3, koop=2, huur=0; suspect koopaanbod_url: missing listing signal"
van Wetten Makelaardij,http://www.vanwetten.nl,vanwetten.nl,vanwetten.nl,http://www.vanwetten.nl/aanbod/woningaanbod/koop,valid,Helmond,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=212, koop=4, huur=2"
vb&t Makelaars Helmond,http://www.vbtmakelaars.nl,vbtmakelaars.nl,vbtmakelaars.nl,https://www.vbtmakelaars.nl/aanbod-nieuwbouw-koopwoningen,valid,Helmond,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=14, koop=2, huur=1"
Woonadvies Makelaardij o.g.,https://www.woonadviesmakelaardij.nl,woonadviesmakelaardij.nl,woonadviesmakelaardij.nl,https://www.woonadviesmakelaardij.nl/aanbod/woningaanbod/mierlo/koop/huis-9229080-Patrijslaan-4H-47,valid,Helmond,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=12, koop=4, huur=0"
AMB Makelaars Drunen,http://www.amb-makelaars.nl,amb-makelaars.nl,amb-makelaars.nl,https://www.amb-makelaars.nl/aanbod,valid,Heusden,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=159, koop=1, huur=0"
Bunt Taxaties en Vastgoedadvies B.V.,http://www.buntvastgoed.nl,buntvastgoed.nl,buntvastgoed.nl,,missing,Heusden,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,sin candidatos de koop; missing koopaanbod_url
Carre de Wit makelaardij,https://www.carredewit.nl,carredewit.nl,carredewit.nl,https://www.carredewit.nl/woningaanbod,valid,Heusden,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=61, koop=3, huur=1"
DUX Real Estate B.V.,https://www.duxrealestate.nl,duxrealestate.nl,duxrealestate.nl,https://duxrealestate.nl/aanbod/s-hertogenbosch/graaf-van-solmsweg-99-e-30,valid,Heusden,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,"prijzen=7, koop=2, huur=1"
Hofstede Land van Heusden,https://www.hofstedelandvanheusden.nl,hofstedelandvanheusden.nl,hofstedelandvanheusden.nl,,missing,Heusden,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.65,true,missing koopaanbod_url,home did not load; missing koopaanbod_url
Kievit Makelaardij,http://www.kievitmakelaardij.com,kievitmakelaardij.com,kievitmakelaardij.com,https://www.kievitmakelaardij.com/stille-verkoop,valid,Heusden,Noord-Brabant,makelaar_site,nvm_harvester_2026_06_12,0.85,false,,mejor candidato sin verificar (score=1.58)
