naam,plaats,adres,provincie,bronnen,website,koopaanbod_url,koopaanbod_confidence,koopaanbod_metodo,platform_hint,requires_js,notas
Nuyens Makelaars,Boxtel,"Rechterstraat 49-b, BOXTEL",Noord-Brabant,nvm,http://www.nuyensmakelaars.nl/,,0.00,none,,False,sin candidatos de koop
Staete Makelaars Boxtel,Boxtel,"Stationsstraat 1, BOXTEL",Noord-Brabant,nvm,https://www.staete.nl/,https://www.staete.nl/aanbod/wonen/tOZUao2/laan-ten-habraken-2-5291-aj/,0.78,regla,,False,"prijzen=6, koop=4, huur=0"
Van Bragt Makelaars & Taxateurs,Breda,"Weerijssingel 48, BREDA",Noord-Brabant,nvm,,,0.00,none,,False,
Roga Makelaars B.V.,Breda,"Ginnekenweg 148, BREDA",Noord-Brabant,nvm,http://www.rogamakelaars.nl/,,0.00,none,,False,home no cargó
Crielaers Makelaardij & Taxaties,Breda,"Plateelbakkerstraat 36, BREDA",Noord-Brabant,nvm,https://www.crielaersmakelaardij.nl/,https://www.crielaersmakelaardij.nl/aanbod/woningaanbod/breda/koop/huis-10073758-Bernard-de-Wildestraat-600/,0.94,regla,realworks,False,"prijzen=8, koop=4, huur=1"
Ideale Makelaar,Breda,"Zeislaan 38, OOSTERHOUT",Noord-Brabant,nvm,https://www.idealemakelaar.nl/,https://www.idealemakelaar.nl/aanbod/koopwoningen,0.95,regla,,False,"prijzen=15, koop=2, huur=0"
Makelaarshuys Johanna en Gijs,Breda,"Nieuwe Ginnekenstraat 37, BREDA",Noord-Brabant,nvm,https://makelaarshuysjohanna.nl/,https://makelaarshuysjohanna.nl/aanbod/woningaanbod/,0.94,regla,realworks,False,"prijzen=132, koop=4, huur=2"
Bastiaansen van den Bemd Makelaars Taxateurs,Breda,"Ginnekenweg 157, BREDA",Noord-Brabant,nvm,https://www.b-vdb.nl/,,0.00,none,,False,home no cargó
Hypodomus Makelaars Breda,Breda,"Mathenessestraat 67A2, BREDA",Noord-Brabant,nvm,http://www.hypodomus-breda.nl/,http://www.hypodomus-breda.nl/aanbod/woningaanbod/,0.94,regla,realworks,False,"prijzen=132, koop=4, huur=2"
Storimans en Partners,Breda,"Ginnekenweg 161, BREDA",Noord-Brabant,nvm,https://www.storimansenpartners.nl/,,0.00,none,,False,home no cargó
Steverink en Partners,Breda,"Nieuwe Ginnekenstraat 47, BREDA",Noord-Brabant,nvm,http://www.steverink.nl/,http://www.steverink.nl/binnenkort-in-verkoop,0.76,regla,,False,"prijzen=10, koop=1, huur=0"
Bink & Partners,Breda,"Wildenborgstraat 48D, BREDA",Noord-Brabant,nvm,http://www.binkenpartners.nl/,https://binkenpartners.nl/huis-verkopen-breda/,0.30,home-fallback,wordpress,False,mejor candidato sin verificar (score=1.58)
Hendriks Makelaardij Breda,Breda,"Markendaalseweg 329A35, BREDA",Noord-Brabant,nvm,http://www.hendriks.nl/,https://hendriks.nl/woningaanbod/koop/rijsbergsebaan-13-4836-mc-breda,0.30,home-fallback,yes-co,False,mejor candidato sin verificar (score=3.50)
LUC Vastgoed Adviseurs,Breda,"Ulvenhoutselaan 79, BREDA",Noord-Brabant,nvm,https://www.lucvastgoed.nl/,https://www.lucvastgoed.nl/aanbod,0.67,regla,realworks,False,"prijzen=11, koop=3, huur=2"
Taxatie 4u,Breda,"Merelstraat 35, BREDA",Noord-Brabant,nvm,,,0.00,none,,False,
Kern Makelaars Breda B.V.,Breda,"van Coothplein 103, BREDA",Noord-Brabant,nvm,http://www.kernmakelaars.nl/,https://www.kernmakelaars.nl/aanbod/nu-in-verkoop,0.83,regla,,False,"prijzen=15, koop=2, huur=0"
Van der Sande Makelaars,Breda,"Vijverstraat 1, BREDA",Noord-Brabant,nvm,http://www.vandersande.nl/,http://www.vandersande.nl/wonen/binnenkort-in-de-verkoop,0.76,regla,,True,"prijzen=60, sin señales huur"
Bastia Real Estate BV,Breda,"Nieuwe Boschstraat 51, BREDA",Noord-Brabant,nvm,https://www.bastiarealestate.com/,https://bastiarealestate.com/woningaanbod/kwaadeindstraat-95-tilburg/,0.30,home-fallback,wordpress,True,mejor candidato sin verificar (score=1.52)
ERA Focus Makelaars Breda B.V.,Breda,"Lage Mosten 49, BREDA",Noord-Brabant,nvm,http://www.erafocus.nl/,,0.00,none,,False,sin candidatos de koop
Egan Makelaardij B.V.,Breda,"Kromme Slagen 14, BREDA",Noord-Brabant,nvm,https://www.eganmakelaardij.nl/,https://www.funda.nl/makelaars/breda/19403-egan-makelaardij-bv/woningaanbod/koop/heel-nederland/,0.30,home-fallback,,True,mejor candidato sin verificar (score=3.50)
KIN Makelaars Breda B.V.,Breda,"Korte Ploegstraat 19, BREDA",Noord-Brabant,nvm,http://www.kinmakelaars.nl/,http://www.kinmakelaars.nl/aanbod/wonen/te-koop,0.87,regla,realworks,False,"prijzen=10, koop=4, huur=3"
Van de Water Makelaars Breda,Breda,"Keizerstraat 91, BREDA",Noord-Brabant,nvm,http://www.vandewatergroep.nl/,https://vandewatergroep.nl/nieuwbouw/project/zevenbergen-markant-verkoop-gestart-schrijf-je-nu-in/,0.76,regla,realworks,False,"prijzen=324, sin señales huur"
Cranendonck Makelaars,Cranendonck,"Stationsstraat 8A, MAARHEEZE",Noord-Brabant,nvm,http://www.cranendonckmakelaars.nl/,https://www.cranendonckmakelaars.nl/aanbod/twee-onder-een-kapwoning-willem-alexanderlaan-36-maarheeze/,0.30,home-fallback,wordpress,False,mejor candidato sin verificar (score=2.62)
Bart Hut Makelaardij,Cranendonck,"Meidoornstraat 14, MAARHEEZE",Noord-Brabant,nvm,http://www.barthutmakelaardij.nl/,http://www.barthutmakelaardij.nl/aanbod/woningaanbod/maarheeze/koop/huis-10069812-Gagelstraat-14/,0.94,regla,realworks,False,"prijzen=6, koop=5, huur=0"
Hypodomus | Pieter Vriends,Deurne,"Diepenbroek 9, DEURNE",Noord-Brabant,nvm,http://www.hypodomus-eindhoven.nl/,,0.00,none,,False,home no cargó
Van Santvoort Makelaars b.v.,Deurne,"de Wever 7, DEURNE",Noord-Brabant,nvm,http://www.vansantvoort.nl/,https://www.vansantvoort.nl/woningen-zoeken/?type=koopwoningen,0.81,regla,wordpress,True,"prijzen=240, sin señales huur"
Door Martijn B.V.,Deurne,"De Meent 24a, DEURNE",Noord-Brabant,nvm,http://www.door-martijn.nl/,https://www.door-martijn.nl/ik-verkoop-een-huis,0.76,regla,,False,"prijzen=15, sin señales huur"
Bakens Makelaardij,Deurne,"Milhezerweg 4, DEURNE",Noord-Brabant,nvm,http://www.bakensmakelaardij.nl/,http://www.bakensmakelaardij.nl/aanbod/woningaanbod/helmond/koop/huis-10309030-Prins-Karelstraat-89/,0.86,regla,realworks,False,"prijzen=5, koop=4, huur=1"
NEO makelaars,Deurne,"Derpsestraat 1D, DEURNE",Noord-Brabant,nvm,https://www.neomakelaars.nl/,,0.00,none,,False,sin candidatos de koop
Assurantie- en Makelaarskantoor Swinkels B.V.,Deurne,"Kerkstraat 17, DEURNE",Noord-Brabant,nvm,http://www.makelaardijswinkels.nl/,https://www.makelaardijswinkels.nl/makelaardij/aanbod/,0.67,regla,wordpress,False,"prijzen=8, koop=3, huur=2"
Kanters Makelaars B.V.,Dongen,"Mgr. Poelsstraat 9, DONGEN",Noord-Brabant,nvm,https://www.kanters.net/,,0.00,none,,False,home no cargó
KIN Makelaars Dongen,Dongen,"Hoge Ham 93, DONGEN",Noord-Brabant,nvm,http://www.kinmakelaars.nl/,http://www.kinmakelaars.nl/aanbod/wonen/te-koop,0.87,regla,realworks,False,"prijzen=10, koop=4, huur=3"
Van den Bosch Makelaars,Dongen,"Mgr. Poelsstraat 1A, DONGEN",Noord-Brabant,nvm,http://www.vandenboschmakelaars.com/,https://www.vandenboschmakelaars.com/diensten/verkoopmakelaar/,0.30,home-fallback,realworks,False,mejor candidato sin verificar (score=1.58)
"Biemans Made, Makelaardij o.z. en Hypotheken",Drimmelen,"Marktstraat 4A, MADE",Noord-Brabant,nvm,http://www.biemansmade.nl/,http://www.biemansmade.nl/nl/diensten/verkoop,0.76,regla,realworks,False,"prijzen=3, koop=1, huur=0"
Bogaers Makelaardij,Drimmelen,"Nieuwstraat 22c, MADE",Noord-Brabant,nvm,http://www.bogaersmakelaardij.nl/,,0.00,none,,False,home no cargó
Verbrugge Makelaardij b.v.,Drimmelen,"Gangboord 11, RAAMSDONKSVEER",Noord-Brabant,nvm,http://www.verbrugge.com/,http://www.verbrugge.com/huizen,0.67,regla,wordpress,False,"prijzen=9, koop=1, huur=0"
ERA Makelaardij Amerstreek,Drimmelen,"Prins Bernhardstraat 1, RAAMSDONKSVEER",Noord-Brabant,nvm,http://www.eramakelaardijamerstreek.nl/,http://www.eramakelaardijamerstreek.nl/raamsdonksveer/era-makelaardij-amerstreek/verkoopmakelaar-raamsdonksveer,0.76,regla,,False,"prijzen=6, koop=1, huur=0"
ERA makelaars Oosterhout,Drimmelen,"IJsvogelvlinder 18, OOSTERHOUT",Noord-Brabant,nvm,http://www.eraoosterhout.nl/,http://www.eraoosterhout.nl/makelaar/oosterhout-nb/ijsvogelvlinder/era-makelaars-oosterhout/huizenaanbod,0.30,home-fallback,,False,mejor candidato sin verificar (score=0.72)
Ideale Makelaar,Drimmelen,"Zeislaan 38, OOSTERHOUT",Noord-Brabant,nvm,https://www.idealemakelaar.nl/,https://www.idealemakelaar.nl/aanbod/koopwoningen,0.95,regla,,False,"prijzen=15, koop=2, huur=0"
Trommelen Makelaars en Taxateurs,Drimmelen,"Heuvel 10, OOSTERHOUT",Noord-Brabant,nvm,,,0.00,none,,False,
Biemans B.V.,Drimmelen,"Heuvel 4, OOSTERHOUT",Noord-Brabant,nvm,http://www.biemansmakelaardij.nl/,,0.00,none,,False,home no cargó
Van der Plas & De Vegt Makelaardij B.V.,Drimmelen,"Bouwlingstraat 14, OOSTERHOUT",Noord-Brabant,nvm,http://www.vdplas.nl/,http://www.vdplas.nl/aanbod/woningaanbod/oosterhout/koop/huis-10223868-Zwanendonk-2/,0.94,regla,realworks,False,"prijzen=8, koop=4, huur=0"
Noud Kops Woning-en Bedrijfsmakelaardij en Verzekeringen,Drimmelen,"Mathildastraat 57, OOSTERHOUT",Noord-Brabant,nvm,http://www.noudkopsmakelaardij.nl/,http://www.noudkopsmakelaardij.nl/aanbod/woningaanbod/oosterhout/koop/huis-10166294-Leeuwenstraat-28/,0.94,regla,realworks,False,"prijzen=4, koop=4, huur=0"
Marjoleine Rinsma Makelaardij,Drimmelen,"Leuvenstraat 1, OOSTERHOUT",Noord-Brabant,nvm,http://www.mrmakelaardij.nl/,http://www.mrmakelaardij.nl/aanbod/woningaanbod/?inclkoop=true&inclhuur=false,0.94,regla,realworks,False,"prijzen=126, koop=4, huur=0"
Klijsen Makelaars & Adviseurs,Drimmelen,"Europark 5, OOSTERHOUT",Noord-Brabant,nvm,http://www.klijsen.nl/,https://www.klijsen.nl/agrarisch-grond-te-koop-grond-kopen-in-noord-brabant/,0.30,home-fallback,realworks,False,mejor candidato sin verificar (score=1.94)
Van Santvoort Makelaars b.v.,Eersel,"Nieuwstraat 62, EERSEL",Noord-Brabant,nvm,http://www.vansantvoort.nl/,https://www.vansantvoort.nl/woningen-zoeken/?type=koopwoningen,0.81,regla,wordpress,True,"prijzen=240, sin señales huur"
W. Heeren Makelaardij B.V.,Eersel,"Markt 48, EERSEL",Noord-Brabant,nvm,http://www.wheeren.nl/,http://www.wheeren.nl/aanbod/woningaanbod/hapert/koop/huis-9284102-Beerzedal-21/,0.94,regla,realworks,False,"prijzen=4, koop=4, huur=0"
Online Bedrijfsmakelaar,Eersel,"Lange Voren 16C, EERSEL",Noord-Brabant,nvm,http://www.onlinebedrijfsmakelaar.nl/,https://onlinebedrijfsmakelaar.nl/aanbod,0.67,regla,wordpress,False,"prijzen=99, koop=2, huur=2"
Hendrix Huybregts Makelaars,Eindhoven,"Amaryllisstraat 33, EINDHOVEN",Noord-Brabant,nvm,http://www.hendrixhuybregts.nl/,https://hendrixhuybregts.nl/woningen/koop/,0.86,regla,realworks,False,"prijzen=73, koop=2, huur=0"
Van de Schans Makelaardij,Eindhoven,"Blaarthemseweg 2, VELDHOVEN",Noord-Brabant,nvm,http://www.vandeschans.nl/,http://www.vandeschans.nl/aanbod/woningaanbod/koop/,0.95,regla,realworks,False,"prijzen=132, koop=4, huur=0"
Investimuswoningmakelaars,Eindhoven,"Oscar Wildelaan 11, EINDHOVEN",Noord-Brabant,nvm,http://www.investimuswoningmakelaars.nl/,https://investimuswoningmakelaars.nl/dienstverlening-verkoop,0.30,home-fallback,realworks,False,mejor candidato sin verificar (score=1.58)
Janssen Steijlen,Eindhoven,"Provincialeweg 80C, VELDHOVEN",Noord-Brabant,nvm,http://www.janssensteijlen.nl/,http://www.janssensteijlen.nl/bedrijfsaanbod/,0.67,regla,realworks,False,"prijzen=8, koop=2, huur=2"
VMG Regio Eindhoven B.V.,Eindhoven,"Meerwater 2, EINDHOVEN",Noord-Brabant,nvm,http://www.vmg-makelaars.nl/,http://www.vmg-makelaars.nl/aanbod,0.67,regla,realworks,False,"prijzen=28, sin señales huur"
PAR-3 Makelaars,Eindhoven,"Torenallee 20, EINDHOVEN",Noord-Brabant,nvm,http://www.par3makelaars.nl/,https://par3makelaars.nl/aanbod/,0.67,regla,wordpress,False,"prijzen=66, koop=2, huur=0"
Hendriks Makelaardij Eindhoven,Eindhoven,"Aalsterweg 5, EINDHOVEN",Noord-Brabant,nvm,http://www.hendriks.nl/,https://hendriks.nl/woningaanbod/koop/rijsbergsebaan-13-4836-mc-breda,0.30,home-fallback,yes-co,False,mejor candidato sin verificar (score=3.50)
Cushman & Wakefield Eindhoven,Eindhoven,"Schimmelt 14, EINDHOVEN",Noord-Brabant,nvm,https://www.cushmanwakefield.nl/,,0.00,none,,False,home no cargó
MVGM Vastgoedtaxaties,Eindhoven,"Mahatma Gandhilaan 6, EINDHOVEN",Noord-Brabant,nvm,https://www.mvgmvastgoedtaxaties.nl/,,0.00,none,,False,home no cargó
vb&t Makelaars Eindhoven,Eindhoven,"Vestdijk 180, EINDHOVEN",Noord-Brabant,nvm,https://www.vbtmakelaars.nl/,https://www.vbtmakelaars.nl/aanbod-nieuwbouw-koopwoningen,0.88,regla,yes-co,False,"prijzen=14, koop=2, huur=1"
Makelaarskantoor Brabant B.V.,Eindhoven,"Cassandraplein 1, EINDHOVEN",Noord-Brabant,nvm,http://www.brabantbv.nl/,http://www.brabantbv.nl/aanbod/woningaanbod/eindhoven/koop/huis-10044888-Aardbeistraat-9/,0.94,regla,realworks,False,"prijzen=8, koop=4, huur=0"
Hoogveldt Makelaardij,Eindhoven,"Tongelresestraat 359, EINDHOVEN",Noord-Brabant,nvm,https://hoogveldtmakelaardij.nl/,,0.00,none,,False,sin candidatos de koop
JLL Eindhoven,Eindhoven,"Kennedyplein 244A, EINDHOVEN",Noord-Brabant,nvm,http://www.jll.nl/,,0.00,none,wordpress,False,sin candidatos de koop
ERA Focus Makelaars Eindhoven B.V.,Eindhoven,"Hurksestraat 60, EINDHOVEN",Noord-Brabant,nvm,http://www.erafocus.nl/,,0.00,none,,False,sin candidatos de koop
Pradium Vastgoed,Eindhoven,"Lichttoren 32, EINDHOVEN",Noord-Brabant,nvm,https://www.pradium.nl/,,0.00,none,,False,home no cargó
Broekx Makelaardij & Hypotheken,Eindhoven,"Geldropseweg 159, EINDHOVEN",Noord-Brabant,nvm,http://www.broekx.nl/,https://www.broekx.nl/woningaanbod/verkocht/?_objecten_beschikbaarheid=verkocht,0.82,regla,wordpress,False,"prijzen=10, sin señales huur"
