office_name,website,root_domain,raw_place,normalized_place,gemeente,plaats,place_status,place_review_reason,provincie,aanbod_url,aanbod_url_quality,aanbod_detection_method,aanbod_detection_score,aanbod_validation_reason,confidence,needs_review,source_adapter,source_origin,score,status,review_reason,rejection_reason,notes,osm_type,osm_id,osm_website,osm_contact_website,osm_city,osm_postcode,osm_phone,osm_contact_phone,osm_email,osm_contact_email,osm_lat,osm_lon,evidence
Mol & Roubos Makelaardij,http://www.molroubosmakelaardij.nl,molroubosmakelaardij.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,https://molroubosmakelaardij.nl/aanbod,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Nouwen Makelaardij o.g. b.v.,http://www.nouwen.nl,nouwen.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,https://nouwen.nl,suspect,browser_audit,86,project_page,0.65,true,seed,seed,40,suspect,suspect koopaanbod_url: contains excluded token 'gratis-verkoopadvies'; project_page,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij | aanbod_url_status=suspect | aanbod_url_reason=project_page | aanbod_detection_method=browser_audit | aanbod_detection_score=86"
NVW Vastgoed B.V.,,,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.40,true,seed,seed,0,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,website_exists=false | makelaar_signals=vastgoed | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0
Oomen Makelaardij & Taxaties,http://www.oomenmakelaardij.nl,oomenmakelaardij.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,https://www.oomenmakelaardij.nl/wonen,valid,existing_seed_url,75,url contains listing signal 'wonen',0.85,false,seed,seed,60,suspect,url contains listing signal 'wonen',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,wonen | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'wonen' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Paans Makelaars in onroerende goederen,http://www.paansmakelaars.nl,paansmakelaars.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,https://www.paansmakelaars.nl/aanbod/koopwoningen,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,woningen,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Taxanja Taxaties,https://www.taxanja.nl,taxanja.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,,missing,browser_audit,0,no_candidate_found,0.65,true,seed,seed,0,missing,missing koopaanbod_url; no_candidate_found,,,,,,,,,,,,,,,"website_exists=true | aanbod_url_status=missing | aanbod_url_reason=no_candidate_found | aanbod_detection_method=browser_audit | aanbod_detection_score=0 | suggested_aanbod_paths=https://www.taxanja.nl/aanbod,https://www.taxanja.nl/woningaanbod,https://www.taxanja.nl/koopwoningen"
Van Geffen Makelaardij,http://www.vangeffen.nl,vangeffen.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,https://www.vangeffen.nl/aanbod/koopwoningen,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,woningen,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
ViaJoop Makelaardij,http://www.viajoop.nl,viajoop.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,http://www.viajoop.nl/woningen?type=koop,valid,existing_seed_url,75,url contains listing signal 'woningen',0.85,false,seed,seed,90,valid,url contains listing signal 'woningen',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,woningen,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'woningen' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Vos Woningmakelaardij,https://www.voswoningmakelaardij.nl,voswoningmakelaardij.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,https://www.voswoningmakelaardij.nl/aanbod,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Waltmann & Co. Papendrecht b.v.,http://www.waltmann.com,waltmann.com,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,https://www.waltmann.com/aanbod/koopwoningen,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,70,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=woningen,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Zoomer Makelaardij B.V.,http://www.zoomermakelaardij.nl,zoomermakelaardij.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,https://www.zoomermakelaardij.nl/aanbod/koopwoningen,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,woningen,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Zoomer Nijp Taxatieburo B.V.,http://www.nijpmakelaars.nl,nijpmakelaars.nl,Altena,Altena,Altena,Altena,current_gemeente,,Noord-Brabant,,missing,browser_audit,0,no_candidate_found,0.65,true,seed,seed,10,missing,missing koopaanbod_url; no_candidate_found,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=no_candidate_found | aanbod_detection_method=browser_audit | aanbod_detection_score=0 | suggested_aanbod_paths=http://www.nijpmakelaars.nl/aanbod,http://www.nijpmakelaars.nl/woningaanbod,http://www.nijpmakelaars.nl/koopwoningen"
Berkers Taxaties,https://www.berkerstaxaties.nl,berkerstaxaties.nl,Asten,Asten,Asten,Asten,current_gemeente,,Noord-Brabant,,missing,browser_audit,0,no_candidate_found,0.65,true,seed,seed,0,missing,missing koopaanbod_url; no_candidate_found,,,,,,,,,,,,,,,"website_exists=true | aanbod_url_status=missing | aanbod_url_reason=no_candidate_found | aanbod_detection_method=browser_audit | aanbod_detection_score=0 | suggested_aanbod_paths=https://www.berkerstaxaties.nl/aanbod,https://www.berkerstaxaties.nl/woningaanbod,https://www.berkerstaxaties.nl/koopwoningen"
Beter Wonen makelaardij Helma de Corte,http://www.beterwonenmakelaardij.nl,beterwonenmakelaardij.nl,Asten,Asten,Asten,Asten,current_gemeente,,Noord-Brabant,http://www.beterwonenmakelaardij.nl/aanbod/woningaanbod/asten/koop/huis-10304094-Peelkesakker-38,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,100,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,wonen,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Tulkens Makelaardij,http://www.tulkensmakelaardij.nl,tulkensmakelaardij.nl,Asten,Asten,Asten,Asten,current_gemeente,,Noord-Brabant,http://www.tulkensmakelaardij.nl/aanbod/woningaanbod/koop,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Van Houts Makelaardij,http://www.vanhoutsmakelaardij.nl,vanhoutsmakelaardij.nl,Asten,Asten,Asten,Asten,current_gemeente,,Noord-Brabant,http://www.vanhoutsmakelaardij.nl/aanbod/woningaanbod/asten/koop/huis-10288622-Berkelaar-23,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,100,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Makelaars- en Adviesburo Broeders,http://www.broedersmakelaardij.nl,broedersmakelaardij.nl,Baarle Nassau,Baarle-Nassau,Baarle-Nassau,Baarle Nassau,alias,,Noord-Brabant,http://www.broedersmakelaardij.nl/aanbod/woningaanbod/gilze/koop/huis-10225430-Nerhovensestraat-17,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Hennie Kunnen Makelaardij,,,Bergeijk,Bergeijk,Bergeijk,Bergeijk,current_gemeente,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,"website_exists=false | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0"
Met Ons Makelaars,https://www.metonsmakelaars.nl,metonsmakelaars.nl,Bergeijk,Bergeijk,Bergeijk,Bergeijk,current_gemeente,,Noord-Brabant,https://www.metonsmakelaars.nl/aanbod,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,aanbod | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Peter van den Oetelaar Lommers Makelaars,http://www.lommersmakelaars.nl,lommersmakelaars.nl,Bergeijk,Bergeijk,Bergeijk,Bergeijk,current_gemeente,,Noord-Brabant,,missing,browser_audit,0,no_candidate_found,0.65,true,seed,seed,40,suspect,missing koopaanbod_url; no_candidate_found,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar | aanbod_url_status=missing | aanbod_url_reason=no_candidate_found | aanbod_detection_method=browser_audit | aanbod_detection_score=0 | suggested_aanbod_paths=http://www.lommersmakelaars.nl/aanbod,http://www.lommersmakelaars.nl/woningaanbod,http://www.lommersmakelaars.nl/koopwoningen"
Wijman & Jansen ERA makelaars,https://www.wijmanjansen.nl,wijmanjansen.nl,Bergeijk,Bergeijk,Bergeijk,Bergeijk,current_gemeente,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.65,true,seed,seed,40,suspect,missing koopaanbod_url; missing aanbod_url,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,era | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0 | suggested_aanbod_paths=https://www.wijmanjansen.nl/aanbod,https://www.wijmanjansen.nl/woningaanbod,https://www.wijmanjansen.nl/koopwoningen"
Baas Makelaars,http://www.baasmakelaars.nl,baasmakelaars.nl,Bergen Op Zoom,Bergen op Zoom,Bergen op Zoom,Bergen Op Zoom,alias,,Noord-Brabant,https://baasmakelaars.nl/wonen/nieuwbouw,valid,existing_seed_url,75,url contains listing signal 'wonen',0.85,false,seed,seed,90,valid,url contains listing signal 'wonen',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,wonen | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'wonen' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Brabant Makelaardij,http://www.brabantmakelaardij.nl,brabantmakelaardij.nl,Bergen Op Zoom,Bergen op Zoom,Bergen op Zoom,Bergen Op Zoom,alias,,Noord-Brabant,https://www.brabantmakelaardij.nl/huis-verkopen-bergen-op-zoom,suspect,existing_seed_url,30,missing listing signal,0.65,true,seed,seed,40,suspect,suspect koopaanbod_url: missing listing signal; missing listing signal,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij | aanbod_url_status=suspect | aanbod_url_reason=missing listing signal | aanbod_detection_method=existing_seed_url | aanbod_detection_score=30"
DE VIERWINDEN MAKELAARDIJ B.V.,http://www.devierwindenmakelaardij.nl,devierwindenmakelaardij.nl,Bergen Op Zoom,Bergen op Zoom,Bergen op Zoom,Bergen Op Zoom,alias,,Noord-Brabant,https://www.devierwindenmakelaardij.nl/property/holleweg-187-bergen-op-zoom-612,suspect,existing_seed_url,30,missing listing signal,0.65,true,seed,seed,40,suspect,suspect koopaanbod_url: missing listing signal; missing listing signal,,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij | aanbod_url_status=suspect | aanbod_url_reason=missing listing signal | aanbod_detection_method=existing_seed_url | aanbod_detection_score=30"
Grosfeld makelaardij,,,Bergen Op Zoom,Bergen op Zoom,Bergen op Zoom,Bergen Op Zoom,alias,,Noord-Brabant,,missing,failed,0,missing aanbod_url,0.40,true,seed,seed,20,rejected,missing website; missing koopaanbod_url; missing domain; missing root_domain; missing aanbod_url,scored_rejected,,,,,,,,,,,,,,"website_exists=false | makelaar_signals=makelaar,makelaardij | aanbod_url_status=missing | aanbod_url_reason=missing aanbod_url | aanbod_detection_method=failed | aanbod_detection_score=0"
Maes Makelaars,http://www.maesgroep.nl,maesgroep.nl,Bergen Op Zoom,Bergen op Zoom,Bergen op Zoom,Bergen Op Zoom,alias,,Noord-Brabant,https://www.maesmakelaars.nl/woningen/te-koop,valid,existing_seed_url,75,url contains listing signal 'koop',0.85,false,seed,seed,90,valid,url contains listing signal 'koop',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,woningen,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'koop' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Viaons Makelaardij B.V.,http://www.viaons.nl,viaons.nl,Bergen Op Zoom,Bergen op Zoom,Bergen op Zoom,Bergen Op Zoom,alias,,Noord-Brabant,http://www.viaons.nl/aanbod/woningaanbod,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Vink Makelaardij,http://www.vinkmakelaardij.com,vinkmakelaardij.com,Bergen Op Zoom,Bergen op Zoom,Bergen op Zoom,Bergen Op Zoom,alias,,Noord-Brabant,http://www.vinkmakelaardij.com/woningen/beschikbaar,valid,existing_seed_url,75,url contains listing signal 'woningen',0.85,false,seed,seed,90,valid,url contains listing signal 'woningen',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,woningen | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'woningen' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Den Otter Van Vliet,https://www.denottervanvliet.nl,denottervanvliet.nl,Bernheze,Bernheze,Bernheze,Bernheze,current_gemeente,,Noord-Brabant,https://denottervanvliet.nl/aan-en-verkoop,valid,existing_seed_url,75,url contains listing signal 'koop',0.85,false,seed,seed,70,valid,url contains listing signal 'koop',,,,,,,,,,,,,,,website_exists=true | makelaar_signals=koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'koop' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75
Jansen & Van Tuijl Makelaars o.g.,http://www.jansen-vantuijl.nl,jansen-vantuijl.nl,Bernheze,Bernheze,Bernheze,Bernheze,current_gemeente,,Noord-Brabant,http://www.jansen-vantuijl.nl/aanbod/woningaanbod/oss/koop/huis-8457399-Bernhardlaan-43,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Ketelaars Van Zutphen Makelaardij,http://www.ketelaarsvanzutphen.nl,ketelaarsvanzutphen.nl,Bernheze,Bernheze,Bernheze,Bernheze,current_gemeente,,Noord-Brabant,http://www.ketelaarsvanzutphen.nl/aanbod/woningaanbod/koop,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
KOMwonen,https://www.kom-wonen.nl,kom-wonen.nl,Bernheze,Bernheze,Bernheze,Bernheze,current_gemeente,,Noord-Brabant,https://www.kom-wonen.nl/aanbod/woningaanbod/koop,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=wonen,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Ed Willems Makelaardij,http://www.edwillems.nl,edwillems.nl,Best,Best,Best,Best,current_gemeente,,Noord-Brabant,https://edwillems.nl/woningen,valid,existing_seed_url,75,url contains listing signal 'woningen',0.85,false,seed,seed,90,valid,url contains listing signal 'woningen',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,woningen | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'woningen' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
M.G.M. Makelaardij B.V.,http://www.mgmmakelaardij.nl,mgmmakelaardij.nl,Best,Best,Best,Best,current_gemeente,,Noord-Brabant,https://www.mgmmakelaardij.nl/aanbod/koop,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Van den Berk & Kerkhof Makelaars en Taxateurs,http://www.berkkerkhof.nl,berkkerkhof.nl,Best,Best,Best,Best,current_gemeente,,Noord-Brabant,https://www.berkkerkhof.nl/actueel/ontdek-het-nieuwbouwproject,suspect,existing_seed_url,30,missing listing signal,0.65,true,seed,seed,40,suspect,suspect koopaanbod_url: missing listing signal; missing listing signal,,,,,,,,,,,,,,,website_exists=true | makelaar_signals=makelaar | aanbod_url_status=suspect | aanbod_url_reason=missing listing signal | aanbod_detection_method=existing_seed_url | aanbod_detection_score=30
Box Makelaardij,http://www.boxmakelaardij.nl,boxmakelaardij.nl,Bladel,Bladel,Bladel,Bladel,current_gemeente,,Noord-Brabant,https://www.boxmakelaardij.nl/aanbod/tussenwoning-vezelstraat-15-reusel,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Roijmans Makelaardij,http://www.roijmans.nl,roijmans.nl,Bladel,Bladel,Bladel,Bladel,current_gemeente,,Noord-Brabant,http://www.roijmans.nl/bedrijfsmatig-aanbod/koop/bladel/hallenstraat/5-h0,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,100,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
Jonkers Makelaardij,https://www.jonkers-makelaardij.nl,jonkers-makelaardij.nl,Boekel,Boekel,Boekel,Boekel,current_gemeente,,Noord-Brabant,https://www.jonkers-makelaardij.nl/aanbod/woningaanbod/koop,valid,existing_seed_url,75,url contains listing signal 'aanbod',0.85,false,seed,seed,90,valid,url contains listing signal 'aanbod',,,,,,,,,,,,,,,"website_exists=true | makelaar_signals=makelaar,makelaardij,aanbod,koop | aanbod_url_status=valid | aanbod_url_reason=url contains listing signal 'aanbod' | aanbod_detection_method=existing_seed_url | aanbod_detection_score=75"
